componente,anoPlanilha,habilidade,descricao,ondas,agrupamento,moduloOndas,aulaOndas,paginaCaderno,aulaPF,sugestoes,complementar
Cidadania e Convivência em Paz,1º,EF01GE1,"Conhecer e descrever características observadas de seus lugares de vivncia (moradia, escola, etc.) e identificar semelhanças e diferenças entre esses lugares, comparando os distintos modos de vida.",1.0,1º e 2º,Módulo 2,Aula 06,13 e 14,CIC_Unidade_04: Elementos da Cidade,"Distribuir uma folha em branco para cada estudante, e pedirpara que os alunos desenhem os espaços que tem próximoàs suas casas, como: feiras, praças, padarias, escolas, ascasas dos vizinhos, igrejas, entre outros.","História: Poemas Problemas
Autora: Renata Bueno
Narradora: Sônia Kerner"
Cidadania e Convivência em Paz,1º,EF02GE02,"Comparar costumes e tradições de diferentes populações inseridas no bairro ou comunidade em que vive, reconhecendo a importância do respeito às diferenças minimizando os focos de preconceito e fobias diversas.",1.0,1º e 2º,Módulo 2,Aula 06,13 e 14,CIC_Unidade_04: Elementos da Cidade,"Distribuir uma folha em branco para cada estudante, e pedirpara que os alunos desenhem os espaços que tem próximoàs suas casas, como: feiras, praças, padarias, escolas, ascasas dos vizinhos, igrejas, entre outros.","História: Poemas Problemas
Autora: Renata Bueno
Narradora: Sônia Kerner"
Língua Portuguesa,1º,EF15LP14,"Construir o sentido de histórias em quadrinhos e tirinhas, relacionando imagens e palavras e interpretando recursos gráficos (tipos de balões, de letras, onomatopeias)",1.0,1º e 2º,Módulo 2,Aula 07,15 e 16,LP_Unidade_04: Onomatopeias e Poemas,"Formar duplas e distribuir fichas silábicas para que osalunos possam montar palavras escolhidas pelo (a)educador (a). As fichas podem ser construídas com E.V.A.,papelão, tampinhas de garrafa, entre outros.","História: A Feira de Aracaju
Autor: Abdias Soares
Narradora: Maria Aldira da Silva Nascimento"
Matemática,1º,EF01MA02,"Contar de maneira exata ou aproximada, utilizando diferentes estratégias como o pareamento e outros agrupamentos, priorizando o uso de material concreto para contagem, parlendas, poemas, brincadeiras diversas, recursos tecnológicos, livros infantis, entre outros.",1.0,1º e 2º,Módulo 2,Aula 08,17 e 18,MAT_Unidade_01: O Mundo dos Números,"Criar um cartaz com alguns instrumentos de medidas e pedirpara que o aluno identifique o instrumento mais adequadopara saber o peso dos produtos.","História: A Menina que não gostava de frutas
Autora : Cidália Fernandes
Narradora: Patrícia Marisa"
Matemática,1º,EF02MA03,"Comparar quantidades de objetos de dois conjuntos, por estimativa e/ou por correspondência (um a um, dois a dois, entre outros), para indicar “tem mais”, “tem menos” ou “tem a mesma quantidade”, indicando, quando for o caso, quantos a mais e quantos a menos através de situações problemas com jogos, desafios e manipulação de material concreto.",1.0,1º e 2º,Módulo 2,Aula 08,17 e 18,MAT_Unidade_01: O Mundo dos Números,"Criar um cartaz com alguns instrumentos de medidas e pedirpara que o aluno identifique o instrumento mais adequadopara saber o peso dos produtos.","História: A Menina que não gostava de frutas
Autora : Cidália Fernandes
Narradora: Patrícia Marisa"
Matemática,1º,EF01MA02,"Contar de maneira exata ou aproximada, utilizando diferentes estratégias como o pareamento e outros agrupamentos, priorizando o uso de material concreto para contagem, parlendas, poemas, brincadeiras diversas, recursos tecnológicos, livros infantis, entre outros.",1.0,1º e 2º,Módulo 2,Aula 08,17 e 18,MAT_Unidade_08: Números para medir e operar,"Criar um cartaz com alguns instrumentos de medidas e pedirpara que o aluno identifique o instrumento mais adequadopara saber o peso dos produtos.","História: A Menina que não gostava de frutas
Autora : Cidália Fernandes
Narradora: Patrícia Marisa"
Matemática,1º,EF02MA03,"Comparar quantidades de objetos de dois conjuntos, por estimativa e/ou por correspondência (um a um, dois a dois, entre outros), para indicar “tem mais”, “tem menos” ou “tem a mesma quantidade”, indicando, quando for o caso, quantos a mais e quantos a menos através de situações problemas com jogos, desafios e manipulação de material concreto.",1.0,1º e 2º,Módulo 2,Aula 08,17 e 18,MAT_Unidade_08: Números para medir e operar,"Criar um cartaz com alguns instrumentos de medidas e pedirpara que o aluno identifique o instrumento mais adequadopara saber o peso dos produtos.","História: A Menina que não gostava de frutas
Autora : Cidália Fernandes
Narradora: Patrícia Marisa"
Ciências,1º,EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (tomar banho, lavar as mãos antes de comer ou após usar o banheiro, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) e a prática de atividades físicas são necessários para a manutenção da saúde individual e coletiva, reconhecendo e respeitando os hábitos culturais das comunidades e as condições sócias de cada indivíduo.",1.0,1º e 2º,Módulo 2,Aula 09,19 e 20,CIE_Unidade_08: As plantas,"Pedir para que cada um, desenhe em seu caderno trêsalimentos que mais gostam e três alimentos que não gostam.Em seguida, abrir uma roda de conversa falando sobre aimportância de cada alimento.","História: O grande rabanete
Autora: Tatiana Belinky
Narradora: Luciana Celi"
Ciências,1º,EF02CI04,"Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem. outros agrupamentos, priorizando o uso de material concreto para contagem, parlendas, poemas, brincadeiras",1.0,1º e 2º,Módulo 2,Aula 09,19 e 20,CIE_Unidade_08: As plantas,"Pedir para que cada um, desenhe em seu caderno trêsalimentos que mais gostam e três alimentos que não gostam.Em seguida, abrir uma roda de conversa falando sobre aimportância de cada alimento.","História: O grande rabanete
Autora: Tatiana Belinky
Narradora: Luciana Celi"
Ciências,1º,EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (tomar banho, lavar as mãos antes de comer ou após usar o banheiro, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) e a prática de atividades físicas são necessários para a manutenção da saúde individual e coletiva, reconhecendo e respeitando os hábitos culturais das comunidades e as condições sócias de cada indivíduo.",1.0,1º e 2º,Módulo 2,Aula 09,19 e 20,CIE_Unidade_09: Cuidados com as Plantas,"Pedir para que cada um, desenhe em seu caderno trêsalimentos que mais gostam e três alimentos que não gostam.Em seguida, abrir uma roda de conversa falando sobre aimportância de cada alimento.","História: O grande rabanete
Autora: Tatiana Belinky
Narradora: Luciana Celi"
Ciências,1º,EF02CI04,"Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem. outros agrupamentos, priorizando o uso de material concreto para contagem, parlendas, poemas, brincadeiras",1.0,1º e 2º,Módulo 2,Aula 09,19 e 20,CIE_Unidade_09: Cuidados com as Plantas,"Pedir para que cada um, desenhe em seu caderno trêsalimentos que mais gostam e três alimentos que não gostam.Em seguida, abrir uma roda de conversa falando sobre aimportância de cada alimento.","História: O grande rabanete
Autora: Tatiana Belinky
Narradora: Luciana Celi"
Maneiras de pensar e agir,1º,EF01GE1,"Conhecer e descrever características observadas de seus lugares de vivncia (moradia, escola, etc.) e identificar semelhanças e diferenças entre esses lugares, comparando os distintos modos de vida.",1.0,1º e 2º,Módulo 2,Aula 10,21 e 22,MP_Unidade_03: Comportamentos positivos: direitos e deveres,"Apresentar desenhos animados que mostram boas atitudes,comportamentos positivos, entre amigos e familiares.","História: O Menino que Aprendeu a Ver
Autora : Ruth Rocha
Narradora: Sonia Kerner"
Maneiras de pensar e agir,1º,EF02GE02,"Comparar costumes e tradições de diferentes populações inseridas no bairro ou comunidade em que vive, reconhecendo a importância do respeito às diferenças minimizando os focos de preconceito e fobias diversas.",1.0,1º e 2º,Módulo 2,Aula 10,21 e 22,MP_Unidade_03: Comportamentos positivos: direitos e deveres,"Apresentar desenhos animados que mostram boas atitudes,comportamentos positivos, entre amigos e familiares.","História: O Menino que Aprendeu a Ver
Autora : Ruth Rocha
Narradora: Sonia Kerner"
Língua Portuguesa,1º,EF01LP03,"Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.",1.0,1º e 2º,Módulo 3,Aula 11,23 e 24,LP_Unidade_06: Desafios e histórias,"Utilizar o alfabeto móvel para formação de novas palavrascom as letras R e L.","História: João Jiló
Autor: Conto Popular
Narradora: Natiara"
Língua Portuguesa,1º,EF02LP14,"Planejar e produzir pequenos relatos de observação de processos, de fatos, de experiências pessoais, mantendo as características do gênero, considerando a situação comunicativa e o tema/assunto do texto.",1.0,1º e 2º,Módulo 3,Aula 11,23 e 24,LP_Unidade_06: Desafios e histórias,"Utilizar o alfabeto móvel para formação de novas palavrascom as letras R e L.","História: João Jiló
Autor: Conto Popular
Narradora: Natiara"
Matemática,1º,EF01MA14,"Identificar e nomear figuras planas (círculo, quadrado, retângulo e triângulo) em desenhos apresentados em diferentes disposições ou em contornos de faces de sólidos geométricos.",1.0,1º e 2º,Módulo 3,Aula 12,25 e 26,LP_Unidade_06: Desafios e histórias,"Solicitar que os alunos analisem a sala de aula e desenhemos objetos existentes de acordo com as formas geométicrasestudadas. Exemplo: Porta (retângulo).","História: A tartaruga e a fruta amarela
Autor: Ricardo Azevedo
Narradora: Valdira Silva Nascimento"
Matemática,1º,EF02MA15,"Reconhecer, comparar e nomear figuras planas (círculo, quadrado, retângulo e triângulo), por meio de características comuns, em desenhos apresentados em diferentes disposições ou em sólidos geométricos.",1.0,1º e 2º,Módulo 3,Aula 12,25 e 26,LP_Unidade_06: Desafios e histórias,"Solicitar que os alunos analisem a sala de aula e desenhemos objetos existentes de acordo com as formas geométicrasestudadas. Exemplo: Porta (retângulo).","História: A tartaruga e a fruta amarela
Autor: Ricardo Azevedo
Narradora: Valdira Silva Nascimento"
Matemática,1º,EF01MA10,"Descrever, após o reconhecimento e a explicitação de um padrão (ou regularidade), os elementos ausentes em sequências recursivas de números naturais, objetos ou figuras.",1.0,1º e 2º,Módulo 3,Aula 13,27 e 28,MAT_Unidade_12: Figuras Geométricas Tridimensionais,"Escrever numa folha um número para cada aluno de 1 aoquantitativo correspondente de alunos em sala. Após essaidentificação, brincar de ""Faça o gol"". Por exemplo: ""irá chutarao gol o número par que vem antes do 9"", assim o alunoestará atento as explicações e irá identificar se é a sua vez dechutar ao gol.","Texto:Amanda no país das vitaminas
Autor: Leonardo Mendes Cardoso
Narradora : Valdira Texto"
Matemática,1º,EF02MA10,"Descrever um padrão (ou regularidade) de sequências repetitivas e de sequências recursivas, por meio de palavras, símbolos ou desenhos.",1.0,1º e 2º,Módulo 3,Aula 13,27 e 28,MAT_Unidade_12: Figuras Geométricas Tridimensionais,"Escrever numa folha um número para cada aluno de 1 aoquantitativo correspondente de alunos em sala. Após essaidentificação, brincar de ""Faça o gol"". Por exemplo: ""irá chutarao gol o número par que vem antes do 9"", assim o alunoestará atento as explicações e irá identificar se é a sua vez dechutar ao gol.","Texto:Amanda no país das vitaminas
Autor: Leonardo Mendes Cardoso
Narradora : Valdira Texto"
Ciências,1º,EF01MA10,"Descrever, após o reconhecimento e a explicitação de um padrão (ou regularidade), os elementos ausentes em sequências recursivas de números naturais, objetos ou figuras.",1.0,1º e 2º,Módulo 3,Aula 14,29 e 30,CIE_Unidade_01: O corpo humano,"Levar objetos e alimentos e convidar alguns alunos a vendaros olhos e identificar com um dos 5 sentidos qual é esseobjeto ou alimento. Exemplo: a criança, de olhos fechados, irásentir uma esponja de lavar pratos e falar qual é o objeto, se émacio ou áspero e qual sentido ela utilizou para chegar atéesse resultado.","História: Alimentos saudáveis
Autor: Simeon Marinkovic
Narradora: Valdira Silva Nascimento"
Ciências,1º,EF02MA10,"Descrever um padrão (ou regularidade) de sequências repetitivas e de sequências recursivas, por meio de palavras, símbolos ou desenhos.",1.0,1º e 2º,Módulo 3,Aula 14,29 e 30,CIE_Unidade_01: O corpo humano,"Levar objetos e alimentos e convidar alguns alunos a vendaros olhos e identificar com um dos 5 sentidos qual é esseobjeto ou alimento. Exemplo: a criança, de olhos fechados, irásentir uma esponja de lavar pratos e falar qual é o objeto, se émacio ou áspero e qual sentido ela utilizou para chegar atéesse resultado.","História: Alimentos saudáveis
Autor: Simeon Marinkovic
Narradora: Valdira Silva Nascimento"
Ciências,1º,EF01MA10,"Descrever, após o reconhecimento e a explicitação de um padrão (ou regularidade), os elementos ausentes em sequências recursivas de números naturais, objetos ou figuras.",1.0,1º e 2º,Módulo 3,Aula 14,29 e 30,CIE_Unidade_02: Os cinco sentidos,"Levar objetos e alimentos e convidar alguns alunos a vendaros olhos e identificar com um dos 5 sentidos qual é esseobjeto ou alimento. Exemplo: a criança, de olhos fechados, irásentir uma esponja de lavar pratos e falar qual é o objeto, se émacio ou áspero e qual sentido ela utilizou para chegar atéesse resultado.","História: Alimentos saudáveis
Autor: Simeon Marinkovic
Narradora: Valdira Silva Nascimento"
Ciências,1º,EF02MA10,"Descrever um padrão (ou regularidade) de sequências repetitivas e de sequências recursivas, por meio de palavras, símbolos ou desenhos.",1.0,1º e 2º,Módulo 3,Aula 14,29 e 30,CIE_Unidade_02: Os cinco sentidos,"Levar objetos e alimentos e convidar alguns alunos a vendaros olhos e identificar com um dos 5 sentidos qual é esseobjeto ou alimento. Exemplo: a criança, de olhos fechados, irásentir uma esponja de lavar pratos e falar qual é o objeto, se émacio ou áspero e qual sentido ela utilizou para chegar atéesse resultado.","História: Alimentos saudáveis
Autor: Simeon Marinkovic
Narradora: Valdira Silva Nascimento"
Princípios para uma vida saudável,1º,EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (tomar banho, lavar as mãos antes de comer ou após usar o banheiro, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) e a prática de atividades físicas são necessários para a manutenção da saúde individual e coletiva, reconhecendo e respeitando os hábitos culturais das comunidades e as condições sócias de cada indivíduo.",1.0,1º e 2º,Módulo 3,Aula 15,31 e 32,VID_Unidade_01: Hábitos e práticas saudáveis,"Propor para que os alunos desenhem quais são os hábitos dehigiene que são necessários realizar após chegar da escola.","História: Chelé, o jacaré de chulé
Autora: Gina Borges
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,1º,EF15AR20,"Experimentar o trabalho colaborativo, coletivo e autoral em improvisações teatrais e processos narrativos criativos em teatro, explorando desde a teatralidade dos gestos e das ações do cotidiano até elementos de diferentes matrizes estéticas e culturais.",1.0,1º e 2º,Módulo 4,Aula 16,33 e 34,MP_Unidade_04: Trabalho Colaborativo,"Realizar uma roda de conversa explicando a importância dotrabalho em grupo na sala de aula.","História: D. Cotinha, Tom o gato Joca.
Autora: Cléo Busatto
Narradora: Maria da Conceição"
Língua Portuguesa,1º,EF01LP17,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, listas, agendas, calendários, avisos, convites, receitas, instruções de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",1.0,1º e 2º,Módulo 4,Aula 17,35 e 36,LP_Unidade_16: Amigos do H e Fadas,"Levar imagens para sala de aula com palavras que comecemcom a letra C mas possuem som de S, para que os alunospossam identificar os diferentes sons e escritas.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profa Patrícia"
Língua Portuguesa,1º,EF02LP13,"Planejar e produzir bilhetes e cartas, em meio impresso e/ou digital, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",1.0,1º e 2º,Módulo 4,Aula 17,35 e 36,LP_Unidade_16: Amigos do H e Fadas,"Levar imagens para sala de aula com palavras que comecemcom a letra C mas possuem som de S, para que os alunospossam identificar os diferentes sons e escritas.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profa Patrícia"
Língua Portuguesa,1º,EF01LP17,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, listas, agendas, calendários, avisos, convites, receitas, instruções de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",1.0,1º e 2º,Módulo 4,Aula 17,35 e 36,LP_Unidade_06: Desafios e Histórias,"Levar imagens para sala de aula com palavras que comecemcom a letra C mas possuem som de S, para que os alunospossam identificar os diferentes sons e escritas.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profa Patrícia"
Língua Portuguesa,1º,EF02LP13,"Planejar e produzir bilhetes e cartas, em meio impresso e/ou digital, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",1.0,1º e 2º,Módulo 4,Aula 17,35 e 36,LP_Unidade_06: Desafios e Histórias,"Levar imagens para sala de aula com palavras que comecemcom a letra C mas possuem som de S, para que os alunospossam identificar os diferentes sons e escritas.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profa Patrícia"
Matemática,1º,EF01MA05,"Comparar números naturais de até duas ordens em situações cotidianas, com e sem suporte da reta numérica.",1.0,1º e 2º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_06: Calendário e cálculos,"Trazer imagens de objetos que estão em uma competição(pode ser carrinhos, motos) e pedir para que os alunos pintemde acordo com a sua ordem de chegada. Exemplo: pintar deazul o carrinho que chegará na 2° posição.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profa Valdira"
Matemática,1º,EF02MA18,"Indicar a duração de intervalos de tempo entre duas datas, como dias da semana e meses do ano, utilizando calendário, para planejamentos e organização de agenda.",1.0,1º e 2º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_06: Calendário e cálculos,"Trazer imagens de objetos que estão em uma competição(pode ser carrinhos, motos) e pedir para que os alunos pintemde acordo com a sua ordem de chegada. Exemplo: pintar deazul o carrinho que chegará na 2° posição.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profa Valdira"
Matemática,1º,EF01MA05,"Comparar números naturais de até duas ordens em situações cotidianas, com e sem suporte da reta numérica.",1.0,1º e 2º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_13: Que horas são?,"Trazer imagens de objetos que estão em uma competição(pode ser carrinhos, motos) e pedir para que os alunos pintemde acordo com a sua ordem de chegada. Exemplo: pintar deazul o carrinho que chegará na 2° posição.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profa Valdira"
Matemática,1º,EF02MA18,"Indicar a duração de intervalos de tempo entre duas datas, como dias da semana e meses do ano, utilizando calendário, para planejamentos e organização de agenda.",1.0,1º e 2º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_13: Que horas são?,"Trazer imagens de objetos que estão em uma competição(pode ser carrinhos, motos) e pedir para que os alunos pintemde acordo com a sua ordem de chegada. Exemplo: pintar deazul o carrinho que chegará na 2° posição.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profa Valdira"
Ciências,1º,EF01CI05,"Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.",1.0,1º e 2º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_14: Dia e noite,"Levar imagens para que os alunos identifiquem e pintem asdiferentes estações do ano, o dia e a noite.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sônia Kerner"
Ciências,1º,EF02CI07,Descrever as posições do Sol em diversos horários do dia e associá-las ao tamanho da sombra projetada.,1.0,1º e 2º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_14: Dia e noite,"Levar imagens para que os alunos identifiquem e pintem asdiferentes estações do ano, o dia e a noite.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sônia Kerner"
Tecnologia,1º,EF15AR26,"Explorar diferentes tecnologias e recursos digitais (multimeios, animações, jogos eletrônicos, gravações em áudio e vídeo, fotografia, softwares etc.) nos processos de criação artística.",1.0,1º e 2º,Módulo 4,Aula 20,41 e 42,TEC_Unidade_04: O Computador e seus recursos,"Realizar uma roda de conversa com os alunos e perguntar seeles já utilizaram o computador e como foi utilizado, se foipara fazer uma pesquisa, assistir um vídeo ou jogar.","História: Um Amigo Fiel
Autor: Almeida Júnior
Narradora: Profa Patrícia Marisa"
Maneiras de pensar e agir,1º,EF15AR04SE,"Confeccionar brinquedos, brincadeiras, jogos, danças, canções e histórias de diferentes matrizes estéticas e culturais, interagindo com o outro e desenvolvendo o respeito mútuo.",1.0,1º e 2º,Módulo 5,Aula 21,43 e 44,"MP_Unidade_02: Reconhecimento das emoções, empatia e respeito",Solicitar que os alunos desenhem as suas brincadeiras favoritas.,"História: O Urso e as Abelhas
Autor: Esopo
Narradora: Profa Patrícia Marisa"
Língua Portuguesa,1º,EF01LP02,"Escrever, espontaneamente ou por ditado, palavras e frases de forma alfabética – usando letras/grafemas que representem fonemas.",1.0,1º e 2º,Módulo 5,Aula 22,45 e 46,LP_Unidade_04: Onomatopeias e Poemas,"Selecionar 02 imagens e várias palavras. Pedir que os alunosliguem as palavras com as imagens que rimam. Exemplo:Imagem de uma caneta / palavras que rimam: maleta, chupetae etc.","História: Respeito
Autora:Maria do Rosário Moita Macedo
Narradora: Profa Patrícia Marisa"
Língua Portuguesa,1º,EF02LP12,"Ler e compreender com certa autonomia cantigas, letras de canção, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto do texto e relacionando sua forma de organização à sua finalidade.",1.0,1º e 2º,Módulo 5,Aula 22,45 e 46,LP_Unidade_04: Onomatopeias e Poemas,"Selecionar 02 imagens e várias palavras. Pedir que os alunosliguem as palavras com as imagens que rimam. Exemplo:Imagem de uma caneta / palavras que rimam: maleta, chupetae etc.","História: Respeito
Autora:Maria do Rosário Moita Macedo
Narradora: Profa Patrícia Marisa"
Língua Portuguesa,1º,EF01LP06,Segmentar oralmente palavra em sílabas.,1.0,1º e 2º,Módulo 5,Aula 23,47 e 48,LP_Unidade_02: Troca Letra e Fábulas,"Realizar um ditado ilustrado e pedir que os alunos falem osnomes dos objetos que aparecem.","História: Felicidade
Autoras:Carla Conceição Selva A. Moreira Pinheiro e
Sandra da Silva Lima
Narradora: Profa Valdira"
Língua Portuguesa,1º,EF02LP02,"Segmentar palavras em sílabas e remover e substituir sílabas iniciais, mediais ou finais para criar novas palavras.",1.0,1º e 2º,Módulo 5,Aula 23,47 e 48,LP_Unidade_02: Troca Letra e Fábulas,"Realizar um ditado ilustrado e pedir que os alunos falem osnomes dos objetos que aparecem.","História: Felicidade
Autoras:Carla Conceição Selva A. Moreira Pinheiro e
Sandra da Silva Lima
Narradora: Profa Valdira"
